SIZE-3year,GR-PROFIT-MARGIN-3year,CAPITAL-EMPLOYED-TURNOVER-3year,STOCKHOLDERS-EQUITY-TURNOVER-3year,CAPITAL-EMPLOYED/NET-FIXED-ASSETS-3year,DEBT/EQUITY-3year,EQUITY/CAPITAL-EMPLOYED-3year,WORKING-CAPITAL/TOTAL-ASSETS-3year,AV-COLLECTION-PERIOD-FOR-RECIEVABLES-3year,AV-PAYMENT-PERIOD-3year,AV-TURNOVER-PERIOD-FOR-INVENTORIES-3year,SCALED-CHANGE-ASSETS-2year,SIZE-2year,CH.NET-INCOME-2year,GR-PROFIT-MARGIN-2year,CAPITAL-EMPLOYED-TURNOVER-2year,STOCKHOLDERS-EQUITY-TURNOVER-2year,CAPITAL-EMPLOYED/NET-FIXED-ASSETS-2year,DEBT/EQUITY-2year,EQUITY/CAPITAL-EMPLOYED-2year,WORKING-CAPITAL/TOTAL-ASSETS-2year,AV-COLLECTION-PERIOD-FOR-RECIEVABLES-2year,AV-PAYMENT-PERIOD-2year,AV-TURNOVER-PERIOD-FOR-INVENTORIES-2year,SCALED-CHANGE-ASSETS,SIZE,CH.NET-INCOME,GR-PROFIT-MARGIN,CAPITAL-EMPLOYED-TURNOVER,STOCKHOLDERS-EQUITY-TURNOVER,CAPITAL-EMPLOYED/NET-FIXED-ASSETS,DEBT/EQUITY,EQUITY/CAPITAL-EMPLOYED,WORKING-CAPITAL/TOTAL-ASSETS,AV-COLLECTION-PERIOD-FOR-RECIEVABLES,AV-PAYMENT-PERIOD,AV-TURNOVER-PERIOD-FOR-INVENTORIES,final
14.109318,14.424671,14.855561,23.572844,1.091871,10.007714,0.630198,-0.114328,53.698296,112.57553,13.234921,0.04054,14.190443,-0.368936,13.161186,12.678043,19.050455,1.137725,10.728184,0.665498,-0.116016,64.511445,131.37626,37.984038,0.127667,14.447179,0.02067,14.396015,14.648314,21.888088,0.984826,17.348561,0.669237,-0.110024,49.97474,205.500668,124.662847,Bankrupted
13.071884,32.754268,2.835608,3.47904,15.876748,3.27797,0.815055,0.195224,156.132533,82.167819,189.919963,-0.169294,12.730005,0.248795,36.139887,3.256077,3.256077,19.685135,1.980801,1,0.203176,184.573086,47.363488,209.65986,-0.129756,12.469021,-1,36.878267,2.57363,2.57363,29.755402,1.79623,1,0.179972,116.070412,121.807768,404.093038,Bankrupted
15.228073,16.067266,12.067761,12.185461,3.030303,7.885534,0.990341,0.064954,177.640218,162.310664,35.104031,-0.05603,15.115895,-0.366442,16.621275,6.489272,6.489272,4.433202,4.24026,1,0.134319,197.891763,174.499104,42.456243,0.010692,15.13728,-0.01126,15.855079,6.12188,6.12188,0.397144,4.107779,1,-0.315342,84.839417,177.718787,61.927489,Bankrupted
15.929209,10.659605,1.459117,7.77549,1.783445,40.465741,0.187656,-0.479804,380.865389,18.569982,655.503363,0.096603,16.123019,-0.642561,14.927649,5.350601,-3.009944,2.73717,-25.912455,-1.777641,-0.283878,409.974729,40.637416,1371.448474,-0.109738,15.902656,1,16.599452,6.71598,-3.112308,2.148559,-21.664565,-2.157878,-0.365126,551.265686,51.239871,903.791024,Bankrupted
15.71231,35.849503,0.808673,0.929762,1.815936,1.009124,0.869764,0.149248,214.213489,128.226445,374.977436,0.053067,15.818543,-0.535308,34.404367,1.023917,1.111833,1.625469,1.238371,0.920927,0.029933,203.760303,110.302357,388.926834,0.064009,15.946737,0.057805,33.431501,1.281088,1.390291,1.471978,1.827701,0.921453,-0.069869,253.48319,107.966642,333.453022,Bankrupted
14.219207,7.172148,20.604506,21.139379,3.711184,7.645507,0.974698,0.024764,48.132857,6.973097,37.130655,0.05414,14.327593,-0.354457,6.254954,24.43939,24.43939,34.313266,12.747351,1,0.000742,96.14272,16.724244,33.662474,0.05906,14.44585,0.142089,5.322048,37.706175,37.706175,34.480789,22.431546,1,-0.031492,110.817918,62.944129,47.317101,Bankrupted
12.148851,15.448807,-11.338067,-9.061035,-0.517687,-11.793217,1.251299,-0.675704,0,0,101.821508,0.213624,12.582782,-0.014053,10.864643,-4.680689,-4.680689,-1.013289,-9.253851,1,-0.681845,0,0,127.362572,-0.049288,12.484125,0.105749,14.818981,-7.262078,-7.262078,-1.477457,-6.536781,1,-0.884374,0,0,68.625226,Bankrupted
14.21983,24.827902,5.378844,5.378844,0.737521,2.183476,1,-0.369064,83.325448,85.034998,0,0.107967,14.436608,1,18.962282,8.753712,8.753712,0.466091,4.616372,1,-0.375104,104.676403,61.752792,0,0.007266,14.451141,-1,11.761252,13.094155,13.094104,0.360503,7.365957,1.000004,-0.463801,121.094589,70.58312,0,Bankrupted
19.309802,2.965355,0.073897,11.368387,1.063672,155.067102,0.0065,0.002331,90.904104,52.592845,256.39776,0.021404,19.352618,0.51501,1.257706,0.115597,-4.280004,1.055353,-38.640748,-0.027009,-0.022204,35.581885,39.928354,197.031861,-0.00926,19.334098,0.080371,-0.225535,0.138056,-4.851997,1.0349,-31.330561,-0.028454,-0.05652,37.359782,52.487479,120.636586,Bankrupted
14.715864,14.908827,3.825538,3.825538,1.106286,3.837996,1,0.003016,237.737177,245.101349,15.257944,0.332519,15.407179,1,17.883614,3.678333,3.678333,0.534423,5.049908,1,-0.16013,333.06649,292.009688,46.979403,0.255992,15.930809,0.306365,16.003041,5.747519,5.747519,0.543018,9.605189,1,-0.097058,436.138449,283.65342,20.371514,Bankrupted
15.182899,3.265915,37.6616,57.30431,5.915511,7.699829,0.657221,-0.022451,18.133152,40.040302,13.531381,0.191267,15.570202,0.212376,2.9493,76.252703,121.758284,3.724716,12.350644,0.626263,-0.044199,19.737245,33.056895,12.004339,-0.117611,15.333887,-0.147775,3.048152,72.387198,72.387198,3.543423,5.707758,1,-0.068555,12.814245,15.66569,17.670593,Bankrupted
14.363132,30.070256,8.529159,8.529159,19.982467,6.969063,1,0.120952,18.838792,139.734664,294.408036,0.282998,14.945008,-0.427305,30.785286,8.758694,8.758694,6.386107,13.534822,1,0.055588,30.977222,378.102394,621.273404,0.216745,15.385485,0.552699,37.044537,1.98192,10.566371,3.06454,20.517293,0.187569,0.162241,70.917708,497.208034,851.82461,Bankrupted
16.244218,4.904213,0.462587,0.900342,0.854251,1.430892,0.51379,-0.189309,134.333736,191.126574,88.745267,-0.017589,16.209037,-0.181162,1.576787,0.481656,0.993714,0.699381,2.072943,0.484703,-0.279966,127.353978,319.055745,112.837795,-0.06176,16.08536,0.021976,-11.754715,0.835104,2.384179,0.632585,3.612912,0.350269,-0.450285,115.625385,222.83615,35.30447,Bankrupted
15.919981,27.008409,0.32309,0.410879,1.042048,0.658483,0.786338,-0.0838,336.470161,274.149436,30.104752,0.032927,15.985858,-0.551753,23.054927,0.279611,0.350356,1.127491,0.714762,0.798075,-0.07872,593.046197,426.742376,16.370886,-0.075696,15.834176,-1,-44.876211,0.106658,0.136182,1.093184,0.674049,0.783199,-0.18728,1284.082271,380.356478,17.61542,Bankrupted
14.796652,12.759217,13.37258,13.37258,1.248299,2.842749,1,0.053477,55.635114,68.178439,12.90706,-0.019204,14.758238,-1,17.150348,17.663152,17.663152,1.089297,3.728207,1,-0.031942,49.096728,80.285788,18.813417,0.027945,14.814142,-0.525754,16.735781,69.770723,69.771266,0.337672,20.990404,0.999992,-0.185884,59.426457,106.123186,24.768518,Bankrupted
11.563343,58.625911,5.041098,5.041098,0.607574,1.88611,1,-0.356581,0,292.17287,11.338217,0.07596,11.715556,0.415093,63.934909,2.919553,2.919553,1.16402,1.21191,1,-0.131927,4.297045,318.487098,9.026637,0.088855,11.893736,-1,60.602894,3.410206,3.410293,0.771295,3.050727,0.999975,-0.247084,5.551807,651.714594,16.511707,Bankrupted
16.029913,95.891219,0.029437,0.029437,0.738583,1.076538,1,-0.171298,6421.704102,706662.6066,438.209598,0.001561,16.033035,0.543924,34.336427,0.044018,0.044017,0.714239,1.195179,1,-0.222372,5153.94344,15073.2219,0,-0.216431,15.593218,1,100,0.02069,0.02069,0.726288,0.388893,1,-0.272055,173.690998,360.628841,199.041768,Bankrupted
11.669031,33.575171,7.295604,7.295604,4.184411,5.791742,1,0.037914,117.613984,221.530605,14.021845,0.154653,11.980839,0.543325,58.7837,16.003464,16.003464,5.281344,11.378067,1,-0.002261,33.786486,263.262099,53.416091,0.050695,12.082316,0.067735,74.108142,15.435711,15.435711,1.75204,12.789811,1,-0.078498,37.560653,482.463693,66.379668,Bankrupted
12.385001,22.47347,10.713602,11.319859,1.751444,3.466723,0.946443,-0.046194,17.306926,101.2221,0,-0.237685,11.900362,0.431669,100,6.864571,11.008587,4.064332,1.424022,0.623565,0.145615,0,577.874907,288.081482,0.048222,11.996881,-0.192036,17.49705,6.781214,10.825784,6.927357,1.723617,0.626395,0.133351,8.181399,14.611716,0,Bankrupted
